state_code,county_code,"CEC_(0,6]","CEC_(6,12]","CEC_(12,30]","CEC_(30,50]","CEC_(50,70]","CEC_(70,100]","PH_(0,6]","PH_(6,12]","PH_(12,30]","PH_(30,50]","PH_(50,70]","PH_(70,100]"
01,045,5.42,5.7,2.3,NA,NA,NA,4.896244796646811,5.085650105708245,4.958221235035012,4.913692453759224,4.797886246594479,4.95
01,047,16.802993558165973,22.35,21.636630036630038,13.98962148962149,13.518898385565052,0,5.484268561312101,5.570615492218919,5.312217397045049,5.25520467192365,5.659504053001558,5.2125
01,049,11.099111436950146,17.75,20.09973658187274,12.6125,14.1,NA,5.230119678544038,5.2875,5.164509246606784,4.9929653845000415,5.325426136363636,5
01,051,9.479808465626494,4.533333333333333,16.210287810640136,12.925,14.643333333333334,NA,5.261604576499634,5.03974358974359,5.06648804794128,5.025020121356533,5.3434192836171315,5
01,053,3.75,4.1,8.258461538461539,8.08,11.6,NA,5.019462724103961,5.159092138915683,5.102836942516983,5.059074212281246,4.984277833528324,5.18
01,055,12.777566647759501,7.85,17.09775461106656,12.100000000000001,14.3,NA,4.984045440202175,5.007167832167832,5.050833276191616,4.982594182445654,5.309581623347013,NA
01,057,5.4,5.34,NA,5.4,9.7,NA,4.907071912735273,4.980550174351026,4.7571446916109394,4.784493846262705,4.782498204003536,5
01,059,17.70685015159884,10.366666666666667,29.004893943266037,25.082613585245163,14.85,NA,5.209579839517005,5.258333333333333,5.137172306418887,5.087150395232403,4.913992042440318,5
01,061,5.5,3.6,3.1,3.7,NA,4.8,5.032992083139851,4.949321705426357,5.080333672868757,4.836294109238184,4.963408449807111,4.777777777777778
01,063,23.499472699249235,24.125,23.40016317016317,22.485096153846154,11.299999999999999,NA,5.432167800817307,5.335,5.333784568728308,5.258882037256161,5.448697195358365,4.75
01,065,22.58368736383442,25.540756302521007,27.801373087696618,24.622222222222224,32.55625,28.775,5.583484866582449,6.152450980392157,5.547713204750473,5.642695289206917,5.800463708131775,7.0285714285714285
01,067,2.8172093023255815,9.717763157894737,14.758333333333333,9.007696738426093,16.288888888888888,NA,5.339763990090431,5.3124183006535945,5.397595984247448,5.576060732151734,5.397721475531648,5.3
01,069,4.200862068965518,3.15,7.420833333333333,14.549999999999999,12.100000000000001,NA,5.201100335338488,5.073308270676692,5.149670946019215,5.144266779424968,5.086542512576145,5.2
01,071,13.451707000157102,24.99,20.563004142670387,24.299999999999997,14.300000000000002,NA,5.241615246098236,5.20655737704918,5.247807696823511,5.284386898327489,5.301068815085843,5
01,073,14.029012000905485,25.2,21.83809523809524,18.5,9.566666666666666,NA,5.366485682404221,5.338461538461538,5.6907279947507545,5.1892241453617665,5.07,5.15
01,075,5.225,NA,NA,8.3,NA,NA,4.991920745788398,5.142976362730119,4.821928427072583,4.93877353083101,4.793194816113852,5
01,077,8.752368321333838,NA,13.55,9.1,14.775,NA,5.1993386374152655,5.3,5.09295206095317,5.148102439233452,4.98031855789194,NA
01,079,18.689255302736974,22.675,26.721214997626955,26.12,18,NA,5.457696185442013,5.4363636363636365,5.360296728988052,5.535929322254971,4.932352941176471,5
01,081,5.047279949260406,NA,8.007692307692308,5.747181724364387,3.5971114981080152,NA,5.444402739009019,5.15,5.2497111241676455,5.40435878922474,5.391794250807284,5.075
01,083,14.882098473315573,14.566666666666666,18.854545454545455,22.6,20.8375,NA,5.337247704317554,5.25,5.213936619528424,5.178938499625136,5.160412273928883,5
01,085,16.08885589068719,24.30128205128205,26.295353731236084,24.77226734618039,25.505982905982904,18.225,5.7104953090496116,5.613836477987421,5.611052536238813,5.700153468746758,5.745920336597313,5.633333333333334
01,087,17.593669934640523,26.84027777777778,19.96459857372901,12.25959595959596,13.053571428571429,19.1,5.442617175220393,5.309619565217392,5.5002822668927775,5.287973014417676,5.647203212917818,5.172727272727273
01,089,19.765406072214024,22.47,25.94300234649072,25.15625,16.55,NA,5.33181427838054,5.194285714285714,5.397641749421146,5.225399468849855,5.013128042240739,5
01,091,20.48288027332145,19.04235294117647,20.282566844919785,15.496296296296297,21.927777777777777,29.53333333333333,5.60482715022761,5.813235294117647,5.400034868811958,5.790819899760475,5.5158528188603375,6.2555555555555555
01,093,4.883333333333333,NA,20,7.15,20,NA,5.018845805299815,5.187182688306284,4.860283431628129,4.898290297408738,4.835799144527244,5
01,095,12.751066217732884,11.100000000000001,22.598630536130536,12.73102466793169,NA,14.3,5.261437710741319,5.292857142857143,5.187854780720944,5.253192310121521,4.918181818181818,5.5
01,097,29.062360446570974,6.641666666666667,10.741589580010633,54.95744047619047,5.09749601275917,15.7,5.053865994611327,5.036913250148544,4.953416205936254,4.917641933917664,4.899779085167965,4.997314578005115
01,099,6.942857142857143,NA,6,NA,5.5,NA,5.075591099227792,4.903208556149733,4.941019625249823,4.873607170056629,4.923437016655752,4.933333333333334
01,101,19.333880257885767,21.14,24.14710266275597,33.009039619384446,33.18141025641025,31.95,5.4176256361930735,4.873747711921279,5.45545463232704,5.239421309036661,6.224797941871372,6.35
01,103,13.608706329356211,14.244444444444444,23.745725056909947,19.677336609808773,13.163157894736841,NA,5.269253522122018,5.256391875746714,5.1893439205693515,5.234248374982672,5.233629300776914,5
01,105,21.164975009611688,24.13574346405229,29.862000000000002,29.57111111111111,28.29,27.799999999999997,5.618580115182083,5.8563279857397506,5.532044505464021,5.335770878177756,5.739527629233511,6.06
01,107,27,42,13.94,16.3,9.2,NA,5.4325255495855025,5.912448927477017,5.466140949133276,5.401315820214042,4.9335050922273975,5
01,109,26.8,NA,2,29.8,4.9,NA,5.078297131114134,4.800726744186046,5.034618381267236,5.032245852215461,5.0207063047052936,5
01,111,6.702235270733303,8.17,13.850242456896552,7.814285714285714,8.753564400715563,14.3,5.268275915813073,5.102857142857143,5.135268269436504,5.109813479514215,5.421788920657812,5.5
01,113,14.021215397923875,27.3,26.44626225490196,23.775420168067225,18.166666666666668,3.7,5.392949295773551,5.319505494505495,5.308702186046236,5.329202391137415,5.095476446555186,4.733333333333333
